Region,Country,Position,size (n),nTeams,Well-being_mean,Needs_mean,Engagement_mean,Autonomy_mean,Belonging_mean,Competence_mean,Leadership_mean,Management_mean,Returns_mean,Rewards_mean,Status_mean,Myself_mean,Tasks_mean,Free_mean,Mastery_mean,Competent_mean,Learn_mean,Group_mean,Talk_mean,Care_mean,Satisfied_mean,Meaning_mean,Stay_mean,Ideas_mean,Values_mean,Understands_mean,Encourages_mean,Listens_mean,Network_mean,Friendly_mean,Team_mean,Appreciated_mean,Responsibilities_mean,Work_mean,Impact_mean,Strong_mean,Drained_mean,Frustrated_mean,Well-being_median,Needs_median,Engagement_median,Autonomy_median,Belonging_median,Competence_median,Leadership_median,Management_median,Returns_median,Rewards_median,Status_median,Myself_median,Tasks_median,Free_median,Mastery_median,Competent_median,Learn_median,Group_median,Talk_median,Care_median,Satisfied_median,Meaning_median,Stay_median,Ideas_median,Values_median,Understands_median,Encourages_median,Listens_median,Network_median,Friendly_median,Team_median,Appreciated_median,Responsibilities_median,Work_median,Impact_median,Strong_median,Drained_median,Frustrated_median
Africa,Ethiopia,Volunteer,22,1,3.8,4.5,4.7,4.6,4.4,4.4,4.2,4.3,4.4,4.1,4.3,4.6,4.5,4.6,4.3,4.5,4.6,4.6,4.3,4.3,4.8,4.6,4.5,4.7,4.6,4.2,4.2,4.3,4.2,4.8,4.4,4.4,4.2,4.0,4.2,6.1,3.4,3.3,3.7,4.6,4.7,4.7,4.5,4.8,4.3,4.3,4.5,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,4.5,4.0,5.0,4.0,5.0,4.0,4.0,4.0,7.0,3.0,2.5
Africa,Gambia,Volunteer,8,1,3.9,4.2,4.3,4.3,4.4,3.8,3.6,4.2,4.6,3.2,4.7,4.4,4.1,4.2,3.4,4.2,4.5,4.4,4.1,4.8,3.9,4.8,4.2,4.5,4.1,3.5,3.5,3.9,4.8,4.4,4.2,4.6,3.5,2.9,4.8,5.9,2.9,2.9,3.8,4.2,4.3,4.4,4.3,3.5,4.0,4.2,5.0,3.5,4.8,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.5,5.0,4.0,4.0,4.0,4.0,5.0,4.5,4.5,5.0,3.5,3.0,5.0,6.0,3.0,2.5
Africa,Zambia,Volunteer,15,1,4.0,4.5,4.1,4.5,4.5,4.5,4.3,4.3,4.7,3.6,4.6,4.1,4.5,4.8,4.5,4.6,5.0,4.7,4.4,4.5,4.1,3.9,3.5,4.9,3.9,4.3,4.5,4.1,4.3,4.4,4.4,4.4,3.5,3.8,4.9,5.9,2.8,2.5,3.9,4.6,4.2,4.7,4.7,5.0,4.7,4.3,5.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0,3.0,3.0
Americas,Antigua and Barbuda,Volunteer,6,1,3.7,4.4,4.4,4.7,4.2,4.2,4.0,4.0,4.8,3.2,4.2,4.7,4.7,4.7,4.3,4.2,5.0,4.7,4.0,3.8,4.5,4.2,5.0,4.8,3.7,3.7,4.2,4.2,4.5,4.5,3.3,3.8,3.3,3.2,4.5,6.0,3.7,3.2,3.8,4.4,4.5,4.7,4.0,4.0,3.8,4.0,4.8,3.2,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.0,5.0,5.0,4.0,3.5,4.0,4.0,4.5,4.5,3.0,4.0,3.5,3.0,4.5,6.0,3.5,2.5
Americas,Argentina,Staff,28,2,3.1,3.9,4.1,3.9,3.9,4.1,3.9,3.8,4.0,3.1,4.3,4.2,3.3,4.1,3.9,4.4,4.3,3.8,4.0,3.9,3.9,4.3,3.8,4.6,3.7,4.0,3.9,3.9,3.6,4.2,3.7,4.1,3.0,3.1,4.5,5.1,4.5,4.0,3.1,4.0,4.1,4.0,4.0,4.0,4.3,3.9,4.0,3.5,4.5,4.5,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0
Americas,Bahamas,Staff,2,1,3.9,4.4,4.2,4.6,4.2,4.0,4.6,4.2,3.8,4.0,4.8,4.5,4.5,5.0,4.0,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.5,4.0,4.5,5.0,4.5,3.5,4.5,2.5,5.0,4.0,4.0,4.5,6.5,3.5,3.0,3.9,4.4,4.2,4.6,4.2,4.0,4.6,4.2,3.8,4.0,4.8,4.5,4.5,5.0,4.0,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.5,4.0,4.5,5.0,4.5,3.5,4.5,2.5,5.0,4.0,4.0,4.5,6.5,3.5,3.0
Americas,Ecuador,Volunteer,327,1,4.1,3.9,4.1,3.9,3.8,4.1,3.5,3.8,3.9,3.4,4.2,4.0,4.0,3.8,4.1,4.2,4.2,4.0,3.9,3.6,4.2,4.2,4.1,4.0,4.0,3.4,3.5,3.4,3.6,3.9,4.0,4.0,3.4,3.4,4.3,5.7,2.7,2.3,4.1,4.1,4.2,4.0,4.0,4.0,3.7,3.8,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,2.0,2.0
Americas,El Salvador,Staff,4,1,3.4,3.6,4.2,3.4,3.6,4.0,3.3,4.2,4.1,3.8,4.6,3.5,3.5,3.2,3.5,4.5,4.8,4.2,4.0,2.8,4.0,4.8,4.5,4.2,3.2,3.5,3.0,3.5,3.5,3.8,4.0,4.2,3.5,4.0,5.0,5.2,5.0,2.8,3.4,4.0,4.3,4.0,4.0,4.0,3.8,4.0,4.2,3.5,4.8,4.0,4.0,3.5,3.5,4.5,5.0,4.5,4.0,3.0,4.0,5.0,5.0,4.5,3.0,4.0,3.5,4.0,4.0,4.5,4.0,4.5,3.5,4.0,5.0,5.5,5.0,3.0
Americas,El Salvador,Volunteer,110,2,4.1,4.1,4.4,4.1,4.1,4.2,3.7,4.0,4.1,3.5,4.5,4.1,4.3,3.8,4.0,4.4,4.5,4.4,4.2,3.7,4.4,4.5,4.5,4.5,4.0,3.8,3.7,3.7,3.8,4.0,3.8,4.4,3.5,3.5,4.6,6.1,2.9,2.2,4.1,4.4,4.6,4.3,4.3,4.5,4.0,4.2,4.5,3.5,4.5,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,3.0,2.0
Americas,Honduras,Staff,18,1,3.9,4.3,4.2,4.1,4.0,4.8,3.7,3.8,4.0,2.8,4.5,4.2,4.1,4.1,4.8,4.8,4.4,4.3,4.4,3.4,4.2,4.4,4.3,4.4,3.6,3.6,3.7,3.8,3.7,4.3,4.3,4.3,2.7,2.8,4.7,6.0,3.3,2.8,3.9,4.5,4.5,4.7,4.3,5.0,3.8,3.6,4.0,2.5,4.5,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.5,4.5,4.0,4.5,3.0,2.0,5.0,6.5,3.5,3.0
Americas,Honduras,Volunteer,490,18,4.1,4.3,4.4,4.3,4.3,4.3,4.1,4.2,4.4,3.8,4.5,4.3,4.4,4.3,4.3,4.4,4.7,4.4,4.4,4.0,4.5,4.5,4.5,4.5,4.0,4.0,4.1,4.1,4.1,4.2,3.9,4.3,3.8,3.8,4.6,6.0,2.8,2.2,4.1,4.6,4.6,4.7,4.7,4.5,4.3,4.3,4.5,4.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,3.0,2.0
Americas,Mexico,Staff,191,13,3.4,4.0,4.0,3.9,4.1,4.2,3.8,3.8,4.0,3.0,4.2,4.0,3.9,3.9,3.9,4.5,4.2,4.2,4.2,3.8,3.9,4.3,4.0,4.3,3.7,3.7,3.8,4.0,3.8,4.1,3.6,4.1,3.0,3.1,4.4,5.3,4.0,3.4,3.5,4.2,4.2,4.0,4.3,4.5,4.3,3.8,4.5,3.0,4.5,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0
Americas,Mexico,Volunteer,1190,69,4.0,4.2,4.3,4.2,4.2,4.3,4.0,4.1,4.2,3.7,4.3,4.2,4.3,4.1,4.1,4.5,4.5,4.2,4.3,4.0,4.3,4.5,4.5,4.4,4.0,4.0,3.9,4.0,4.0,4.1,3.9,4.1,3.7,3.7,4.5,6.0,3.1,2.4,4.1,4.5,4.6,4.7,4.3,4.5,4.3,4.2,4.5,4.0,4.5,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,3.0,2.0
